Gene_LOH	Pvalue	HR	Qvalue	N
fLOH_AAGAB	0.997648942539712	3.14748525949463e-07	0.999561539553054	5
rLOH_AAGAB	0.0324841040040584	4.46197237994693	0.378370906464266	10
fLOH_ABCA9	0.114808717736689	2.86491197565565	0.790428988438957	12
rLOH_ABCA9	0.997825115324102	1.17405460295319e-08	0.999478061477577	11
fLOH_ACAN	0.291075701724768	0.313301779584501	0.996553177197004	15
rLOH_ACAN	0.332191792290234	0.431564095217967	0.960508122086984	12
fLOH_ADAMTS7	NA	NA	NA	0
rLOH_ADAMTS7	0.0062564612741877	5.30122529896905	0.187693838225631	17
fLOH_ADD1	0.99829162819431	7.79874513400898e-07	0.999561539553054	1
rLOH_ADD1	0.722389655675863	1.46141738045575	0.999478061477577	12
fLOH_ADPGK	0.997406387383112	2.79391283236277e-07	0.999561539553054	4
rLOH_ADPGK	0.822921477756194	1.27021570508654	0.999478061477577	12
fLOH_ALDH1A2	0.997727407818999	2.38136622898288e-07	0.999561539553054	3
rLOH_ALDH1A2	0.920574564135425	0.922959189783644	0.999478061477577	14
fLOH_ALG9	0.997935792722046	7.6559656439141e-08	0.999561539553054	5
rLOH_ALG9	0.155586752702548	2.56788442280942	0.739929293171991	13
fLOH_ALOXE3	0.891052439535055	1.11418284025983	0.999561539553054	10
rLOH_ALOXE3	0.203611676186139	0.23972399932754	0.849525981055506	10
fLOH_ALPK2	0.585756203447263	1.79855912379574	0.999561539553054	6
rLOH_ALPK2	0.906665562555345	0.881464907677452	0.999478061477577	11
fLOH_ANKFN1	0.380110597330402	0.397254736920731	0.999561539553054	14
rLOH_ANKFN1	0.997222437627415	2.75560517975708e-08	0.999478061477577	10
fLOH_ANKRD33	0.998262667977308	1.07222130565333e-08	0.999561539553054	11
rLOH_ANKRD33	0.998581127806534	1.32664531162776e-08	0.999478061477577	5
fLOH_APOBEC3F	0.923692221578818	0.903294403889978	0.999561539553054	8
rLOH_APOBEC3F	0.776257181865338	0.785884608524336	0.999478061477577	11
fLOH_APOBEC3H	0.999367224463571	1.44639330842374e-09	0.999561539553054	8
rLOH_APOBEC3H	0.997708941703739	2.99439220456638e-09	0.999478061477577	13
fLOH_ARHGEF28	0.0573887335245006	4.68953581152545	0.522478818697475	8
rLOH_ARHGEF28	0.555145376828426	1.59291642484051	0.999478061477577	13
fLOH_ASPSCR1	0.586887781320515	0.561838297873053	0.999561539553054	11
rLOH_ASPSCR1	0.519864542079175	0.515380690974039	0.999478061477577	12
fLOH_ATP5S	0.99694529815954	1.99085297191505e-08	0.999561539553054	13
rLOH_ATP5S	0.00229255235858088	9.01989848454361	0.120440589140257	5
fLOH_B4GALNT2	0.99813938902351	2.12486050515652e-06	0.999561539553054	3
rLOH_B4GALNT2	0.787314570416206	1.33221939013789	0.999478061477577	11
fLOH_BBOF1	0.443203662882226	0.425871278353536	0.999561539553054	12
rLOH_BBOF1	0.466224038308939	2.21211915692252	0.999478061477577	6
fLOH_BIVM-ERCC5	0.0575612257887049	3.53576585180645	0.522478818697475	12
rLOH_BIVM-ERCC5	0.245053431084257	3.44077583650995	0.946604249325915	5
fLOH_BPIFC	0.831732065384933	1.25555874794694	0.999561539553054	5
rLOH_BPIFC	0.397566375694285	0.40049663166894	0.991543941221152	11
fLOH_BRCA1	0.122728946569309	3.62409267492008	0.797074023574609	9
rLOH_BRCA1	0.696118294841263	0.734805062637685	0.999478061477577	19
fLOH_C17orf74	0.629819086407289	1.48187702675273	0.999561539553054	13
rLOH_C17orf74	0.571182891938114	1.46605965843256	0.999478061477577	22
fLOH_C3orf20	0.290894027246196	2.25137025425618	0.996553177197004	12
rLOH_C3orf20	0.997217040897521	1.00705109721907e-08	0.999478061477577	16
fLOH_C9orf84	0.0298407713685865	0.0804974984598048	0.408801238543957	13
rLOH_C9orf84	0.885677491624917	1.16512499852472	0.999478061477577	13
fLOH_CAMKK1	0.504237993199084	1.70813874015985	0.999561539553054	17
rLOH_CAMKK1	0.264260352936818	2.49355706975715	0.946604249325915	16
fLOH_CAMKK2	0.264671350841662	3.26673999105828	0.996553177197004	4
rLOH_CAMKK2	0.921328406313745	1.11053355762955	0.999478061477577	10
fLOH_CARD14	0.363435900680002	2.72542779501268	0.999561539553054	7
rLOH_CARD14	0.0258966072166247	4.78030497091187	0.348635079592208	14
fLOH_CCDC125	0.997269475361976	1.01147881907664e-07	0.999561539553054	6
rLOH_CCDC125	0.272922028702694	2.40299012868321	0.953493574090414	13
fLOH_CCDC137	0.997620596996564	3.92596429870541e-08	0.999561539553054	8
rLOH_CCDC137	0.322466243297129	2.18313488060062	0.960508122086984	12
fLOH_CDAN1	0.0709875725650048	3.55609236176747	0.577691969839349	10
rLOH_CDAN1	0.885001003294034	1.16476077180181	0.999478061477577	9
fLOH_CEP120	0.997843762003972	1.00688349500289e-07	0.999561539553054	7
rLOH_CEP120	0.955130655868	1.06178806511722	0.999478061477577	10
fLOH_CHAF1A	0.688389224464725	1.54589286341935	0.999561539553054	10
rLOH_CHAF1A	0.0165093619397088	20.7484478944844	0.282953711679264	3
fLOH_CISD3	0.572819425379758	1.54764769101612	0.999561539553054	12
rLOH_CISD3	0.998074640738095	3.96872146695328e-08	0.999478061477577	5
fLOH_CMYA5	0.997191744471226	7.75915950739319e-08	0.999561539553054	8
rLOH_CMYA5	0.00372506362699204	8.24880899095113	0.149002545079682	11
fLOH_CNTRL	0.997595851457415	7.63624037981987e-08	0.999561539553054	6
rLOH_CNTRL	0.308495210311719	0.416787423705596	0.953493574090414	11
