ID ASLOH Varscan2 SomaticSniper SNVsniffer Sequenza
TCGA-A1-A0SK 96.113074204947 78.4172661870504 95.910780669145 97.5409836065574 NA
TCGA-A1-A0SP 98.8505747126437 92.0863309352518 60 75 NA
TCGA-A2-A04P 98.9247311827957 94.6386946386946 92.5 63.6363636363636 NA
TCGA-A2-A04T 96.4583333333333 94.3074003795066 91.9354838709677 25 NA
TCGA-A2-A04U 96.697247706422 87.4811463046757 92.8571428571429 88.3116883116883 NA
TCGA-A2-A0CM 96.1038961038961 91.0526315789474 92.8571428571429 NA NA
TCGA-A2-A0D0 96.3541666666667 92.7680798004988 92.3076923076923 66.6666666666667 NA
TCGA-A2-A0D2 95.9459459459459 93.1372549019608 100 0 NA
TCGA-A2-A0EQ 57.1428571428571 53.3333333333333 50 100 NA
TCGA-A2-A0SX 94.9579831932773 84.4660194174757 80 50 NA
TCGA-A2-A0T0 78.9473684210526 76.8292682926829 33.3333333333333 0 NA
TCGA-A2-A0T2 99.2063492063492 97.3270440251572 96.4285714285714 93.75 NA
TCGA-A2-A0YE 97.7848101265823 94.5038167938931 91.304347826087 80 NA
TCGA-A2-A0YM 94.1767068273092 87.8846153846154 92.7710843373494 88.8888888888889 NA
TCGA-A2-A3XT 96.9325153374233 92.1212121212121 90.9090909090909 26.0869565217391 NA
TCGA-A2-A3XU 99.6825396825397 84.0677966101695 96.6216216216216 67.741935483871 0
TCGA-A2-A3XX 96.8421052631579 78.9473684210526 72.7272727272727 41.9354838709677 50
TCGA-A7-A0CE 97.9452054794521 92.4590163934426 98.876404494382 100 NA
TCGA-A7-A0DA 93.8461538461538 90.6417112299465 88.2352941176471 100 NA
TCGA-A7-A26F 85.7142857142857 81.3559322033898 100 100 0
TCGA-A7-A26G 81.4814814814815 68.75 100 100 NA
TCGA-A7-A26I 97.9381443298969 81.304347826087 65.2173913043478 100 NA
TCGA-A7-A4SD 94.5 93.9698492462311 80.9523809523809 54 NA
TCGA-A7-A4SE 99.6894409937888 96.2750716332378 97.1428571428571 71.4285714285714 NA
TCGA-A7-A5ZV 99.2660550458716 94.1532258064516 98.125 90.6976744186046 0
TCGA-A7-A6VV 96.2457337883959 92.0962199312715 90.3225806451613 100 NA
TCGA-A7-A6VW 100 97.1671388101983 96.3855421686747 94.1176470588235 NA
TCGA-A7-A6VY 99.4565217391304 95.3608247422681 100 100 NA
TCGA-A8-A07O 82.3529411764706 90 50 33.3333333333333 NA
TCGA-A8-A08R 96.969696969697 90.3846153846154 100 66.6666666666667 NA
TCGA-AC-A2BK 95.9375 85.6870229007634 94.6308724832215 88.2352941176471 100
TCGA-AC-A2QH 97.6811594202899 74.4336569579288 91.304347826087 89.7959183673469 NA
TCGA-AC-A6IW 100 97.1590909090909 100 100 NA
TCGA-AC-A8OQ 95.4545454545455 92.7536231884058 66.6666666666667 50 NA
TCGA-AN-A04D 93.687707641196 88.8888888888889 92.485549132948 91.8367346938776 NA
TCGA-AN-A0AL 90.4942965779468 88.7272727272727 78.125 55.5555555555556 NA
TCGA-AN-A0AR 97.6923076923077 94.6 97.2972972972973 94.4444444444444 NA
TCGA-AN-A0AT 98.326359832636 95.9752321981424 95.4545454545455 66.6666666666667 NA
TCGA-AN-A0FJ 96.9072164948454 94.3786982248521 94.6428571428571 100 NA
TCGA-AN-A0FL 98.2968369829684 91.2790697674419 98.1735159817352 97.1830985915493 NA
TCGA-AN-A0FX 93.5606060606061 86.2068965517241 76.3157894736842 83.3333333333333 NA
TCGA-AN-A0XU 97.148288973384 91.869918699187 93.75 88.8888888888889 NA
TCGA-AO-A03U NA NA 0 NA NA
TCGA-AO-A0J2 96.4959568733154 93.6555891238671 88.0597014925373 35 NA
TCGA-AO-A0J4 100 82.4742268041237 83.3333333333333 66.6666666666667 NA
TCGA-AO-A0J6 98.371335504886 94.6428571428571 100 60 NA
TCGA-AO-A124 95.9309494451295 94.141689373297 96.3035019455253 94.3089430894309 NA
TCGA-AO-A128 84.6153846153846 83.3333333333333 50 NA NA
TCGA-AO-A129 93.0232558139535 87.5 100 NA NA
TCGA-AO-A12F 97.843137254902 84.2535787321063 95.9420289855072 97.3214285714286 NA
TCGA-AO-A1KR 98.7012987012987 71.0843373493976 76.9230769230769 50 NA
TCGA-AQ-A04J 100 81.5789473684211 66.6666666666667 66.6666666666667 NA
TCGA-AR-A0TP 96.0548885077187 91.6155419222904 96.4556962025317 95.7983193277311 NA
TCGA-AR-A0TS 77.7777777777778 71.4285714285714 NA 100 NA
TCGA-AR-A0U0 72.3880597014925 67.9738562091503 52 50 NA
TCGA-AR-A0U4 91.6666666666667 77.7777777777778 83.3333333333333 NA NA
TCGA-AR-A1AH 97.0858895705521 95.5766192733017 97.0731707317073 82.6086956521739 NA
TCGA-AR-A1AI 92.8571428571429 90.2985074626866 81.8181818181818 0 NA
TCGA-AR-A1AJ 83.3333333333333 70 100 0 NA
TCGA-AR-A1AO NA NA 0 0 NA
TCGA-AR-A1AQ NA 98.4251968503937 85.7142857142857 100 NA
TCGA-AR-A1AR 92.3076923076923 92.6470588235294 100 0 NA
TCGA-AR-A1AY 97.1698113207547 93.8689217758985 95.7746478873239 57.1428571428571 NA
TCGA-AR-A256 97.864768683274 88.2246376811594 95.7627118644068 89.7959183673469 NA
TCGA-AR-A2LH NA 16.6666666666667 NA 0 NA
TCGA-AR-A2LR 97.2768532526475 86.7158671586716 95.1754385964912 94.1176470588235 NA
TCGA-AR-A5QQ 100 100 100 50 NA
TCGA-B6-A0I2 92.3076923076923 94.4162436548223 85.7142857142857 50 NA
