ID ASLOH Varscan2 SomaticSniper SNVsniffer Sequenza
TCGA-A1-A0SK 94.7761194029851 74.4835965978129 90.5880949540737 87.5126646403242 21.0526315789474
TCGA-A1-A0SP 99.0740740740741 80.1647220315717 50.4488330341113 22.3958333333333 27.2727272727273
TCGA-A2-A04P 97.4765258215963 84.4881384911306 79.8229184403201 58.6254295532646 32.1428571428571
TCGA-A2-A04T 96.4973730297723 87.9206517888771 81.1461794019934 60.8771929824561 38.9473684210526
TCGA-A2-A04U 95.6274843838728 82.9787234042553 90.2337901646896 82.4043715846994 24.5901639344262
TCGA-A2-A0CM 89.9521531100478 80.0223214285714 69.101678183613 39.6325459317585 22.2222222222222
TCGA-A2-A0D0 95.3286257468767 86.3202545068929 82.696335078534 53.7931034482759 29.8701298701299
TCGA-A2-A0D2 95.4692556634304 91.8733960650128 72.4367509986684 52.2099447513812 44
TCGA-A2-A0EQ 56.875 48.5510289794204 35.3028064992614 19.047619047619 25.8064516129032
TCGA-A2-A0SX 96.3470319634703 84.9284578696343 75.2475247524752 31.304347826087 18.75
TCGA-A2-A0T0 82.6612903225807 61.8175475318332 43.6420722135008 25.5656108597285 30.0699300699301
TCGA-A2-A0T2 98.7203791469194 94.7122519650415 89.9421128798842 69.0364826941066 38.3333333333333
TCGA-A2-A0YE 97.5949975949976 91.744414746079 88.1749328121182 59.8817567567568 47.2727272727273
TCGA-A2-A0YM 93.8309685379395 85.5940473286167 86.6043613707165 65.2749490835031 35.8974358974359
TCGA-A2-A3XT 97.2620599739244 84.0701407755001 66.9421487603306 36.6223038090867 32.9113924050633
TCGA-A2-A3XU 98.9533011272142 80.129179331307 91.2432274125055 45.6873822975518 36.1111111111111
TCGA-A2-A3XX 94.8008849557522 74.3217054263566 63.5076252723312 28.5118665811418 28.5714285714286
TCGA-A7-A0CE 97.9633401221996 85.3847276974741 87.7470355731225 44.8540706605223 28.6713286713287
TCGA-A7-A0DA 93.5483870967742 86.8691082005506 81.6827997021593 46.6666666666667 37.9310344827586
TCGA-A7-A26F 86.6666666666667 58.5545722713864 26.9058295964126 18.9189189189189 13.5135135135135
TCGA-A7-A26G 77.5510204081633 54.639175257732 34.4897959183673 21.3815789473684 30
TCGA-A7-A26I 95.4367666232073 77.6790206272011 68.6255924170616 36.670687575392 47.1428571428571
TCGA-A7-A4SD 93.482905982906 86.1589199216737 67.9664067186563 44.0683135102165 41.6666666666667
TCGA-A7-A4SE 99.6510816468946 92.89088046506 89.9516189058429 54.8144876325088 35.632183908046
TCGA-A7-A5ZV 99.3827160493827 89.7518261022617 95.5352547606794 76.7605633802817 23.0769230769231
TCGA-A7-A6VV 96.2804005722461 86.1486486486486 81.3591316658801 43.040293040293 20.6896551724138
TCGA-A7-A6VW 99.6941896024465 92.893643115078 92.8955866523143 55.1615445232467 12
TCGA-A7-A6VY 99.7716894977169 90.5390166892197 83.2352941176471 39.8797595190381 57.5
TCGA-A8-A07O 73.0434782608696 48.9463601532567 34.75 5.13392857142857 20.5128205128205
TCGA-A8-A08R 94.9421965317919 87.0469798657718 79.6610169491525 45.5813953488372 39.1025641025641
TCGA-AC-A2BK 96.588274263001 83.4217742797108 91.1279904924301 69.6853741496599 30
TCGA-AC-A2QH 96.969696969697 68.5344827586207 81.0190824198132 68.9333333333333 12.5
TCGA-AC-A6IW 99.1803278688525 93.7376879212027 91.7977528089888 60.6425702811245 60.6060606060606
TCGA-AC-A8OQ 89.7280966767372 77.9623202776401 59.3516209476309 35.5275022542831 40.4040404040404
TCGA-AN-A04D 94.7058823529412 80.5353640244606 88.0860215053764 75.13353115727 8.91089108910891
TCGA-AN-A0AL 89.2201834862385 84.276135612428 75.3904146472806 33.2922318125771 55.8139534883721
TCGA-AN-A0AR 97.086311159978 93.4111217142361 94.2436867613298 81.8044202240388 52.2388059701493
TCGA-AN-A0AT 97.9234972677596 92.3501287237955 85.6009070294785 56.67215815486 29.375
TCGA-AN-A0FJ 98.128078817734 91.3481285193773 86.1765740415054 55.4245283018868 16.8674698795181
TCGA-AN-A0FL 98.6291486291486 84.6866038508808 94.5747589581235 87.6528117359413 31.7647058823529
TCGA-AN-A0FX 94.4973544973545 81.7183669118431 73.5652173913043 48.5347985347985 19.8412698412698
TCGA-AN-A0XU 97.3002159827214 88.6760379208892 90.8653846153846 67.6113360323887 23.4567901234568
TCGA-AO-A03U NA 0.899653979238754 0.168350168350168 0.355871886120996 0
TCGA-AO-A0J2 97.1647509578544 86.5677562678515 83.5920177383592 47.5946775844422 19.4915254237288
TCGA-AO-A0J4 98.6622073578595 72.9052823315118 55.3418803418803 19.9240986717268 17.5675675675676
TCGA-AO-A0J6 97.344228804903 89.3596686842944 85.741935483871 50.968992248062 49.1803278688525
TCGA-AO-A124 95.6881683339082 92.049831696568 93.8811723673744 88.8791401623163 46.7213114754098
TCGA-AO-A128 92.0634920634921 72.3664870161685 57.3055028462998 52.7054108216433 47.8201634877384
TCGA-AO-A129 91.6666666666667 72.6746290264206 57.7039274924471 31.2056737588652 35.7142857142857
TCGA-AO-A12F 97.1847507331378 78.1767621811147 90.2356902356902 85.645105499827 28.2051282051282
TCGA-AO-A1KR 98.9547038327526 51.0392609699769 29.1479820627803 10.8208955223881 4.34782608695652
TCGA-AQ-A04J 95.6896551724138 75.7718472004186 53.1440162271805 31.7507418397626 31.3725490196078
TCGA-AR-A0TP 95.9183673469388 89.478026511193 92.7869908227339 89.7581441263574 28.7878787878788
TCGA-AR-A0TS 90.7216494845361 73.6619718309859 58 47.6793248945148 38.2352941176471
