ID ASLOH Varscan2 SomaticSniper SNVsniffer Sequenza
TCGA-A1-A0SK 97.2222222222222 72.8310502283105 97.4770642201835 80.0813008130081 30
TCGA-A1-A0SP 98.1818181818182 84.7368421052632 81.8181818181818 18.5185185185185 27.7777777777778
TCGA-A2-A04P 98.5380116959064 93.1360946745562 93.1972789115646 46.218487394958 40
TCGA-A2-A04T 96.4885496183206 91.8918918918919 83.8028169014084 37.6344086021505 38.4615384615385
TCGA-A2-A04U 96.6711051930759 85.1619644723093 94.1860465116279 65.945945945946 33.3333333333333
TCGA-A2-A0CM 93.9130434782609 88.4984025559105 65 34.0425531914894 18.75
TCGA-A2-A0D0 94.9932341001353 87.8190255220418 78.735632183908 40.3669724770642 30.4347826086957
TCGA-A2-A0D2 95.7983193277311 92.8571428571429 66.6666666666667 45.8333333333333 55
TCGA-A2-A0EQ 50.8474576271186 45.4545454545455 17.1428571428571 7.31707317073171 31.5789473684211
TCGA-A2-A0SX 94.4444444444444 84.1935483870968 65.3846153846154 27.2727272727273 33.3333333333333
TCGA-A2-A0T0 80.6122448979592 59.2356687898089 17.3913043478261 23.2142857142857 51.2820512820513
TCGA-A2-A0T2 98.7104337631887 96.6887417218543 93.956043956044 53.3333333333333 36.3636363636364
TCGA-A2-A0YE 97.9393939393939 93.7569676700112 89.5061728395062 44.3396226415094 62.5
TCGA-A2-A0YM 94.8419301164726 87.779433681073 77.8571428571429 43.5897435897436 44
TCGA-A2-A3XT 96.7105263157895 87.7483443708609 75 28.7037037037037 25
TCGA-A2-A3XU 98.7730061349693 80.083857442348 97.7272727272727 33.3333333333333 0
TCGA-A2-A3XX 95.0138504155125 80.3203661327231 63.265306122449 22.2972972972973 60
TCGA-A7-A0CE 97.2375690607735 88.4803921568627 91.9354838709677 27.1604938271605 24.4444444444444
TCGA-A7-A0DA 95.2380952380952 89.0130353817505 75.7142857142857 42.1875 34.2857142857143
TCGA-A7-A26F 83.3333333333333 76.3440860215054 70 19.7183098591549 0
TCGA-A7-A26G 79.1666666666667 67.8571428571429 25 30.7692307692308 37.5
TCGA-A7-A26I 96.5732087227414 80.6818181818182 80 40.7079646017699 37.5
TCGA-A7-A4SD 95.9866220735786 91.1680911680912 76 45.6953642384106 64.2857142857143
TCGA-A7-A4SE 99.8223801065719 96.7391304347826 98.7341772151899 62.589928057554 47.8260869565217
TCGA-A7-A5ZV 99.2292870905588 90.6218144750255 97.8142076502732 71.7948717948718 21.5686274509804
TCGA-A7-A6VV 95.9409594095941 88.8257575757576 75.5555555555556 32.5 11.1111111111111
TCGA-A7-A6VW 99.4811932555123 93.8040345821326 97.8609625668449 48.5148514851485 27.2727272727273
TCGA-A7-A6VY 99.7142857142857 92.1348314606742 97.9591836734694 29.8507462686567 81.8181818181818
TCGA-A8-A07O 61.5384615384615 59.6491228070175 16.6666666666667 5.88235294117647 25
TCGA-A8-A08R 94.3965517241379 86.3636363636364 76.3636363636364 33.9622641509434 49.0566037735849
TCGA-AC-A2BK 96.4794635373009 82.1022727272727 95.2434881087203 65.625 26.0869565217391
TCGA-AC-A2QH 98.2022471910112 72.6457399103139 97.0695970695971 63.0630630630631 22.2222222222222
TCGA-AC-A6IW 98.7381703470031 93.66391184573 85.1851851851852 60.3448275862069 67.6470588235294
TCGA-AC-A8OQ 91.2698412698413 85.4304635761589 31.25 41.4285714285714 52.3809523809524
TCGA-AN-A04D 94.8655256723716 85.2861035422343 91.7322834645669 60.1694915254237 12.9032258064516
TCGA-AN-A0AL 89.2215568862275 87.2395833333333 53.8461538461538 31.9444444444444 56.25
TCGA-AN-A0AR 97.1223021582734 93.6726272352132 95.5156950672646 71.7791411042945 50
TCGA-AN-A0AT 98.159509202454 94.4690265486726 87.2340425531915 52.3809523809524 39.5348837209302
TCGA-AN-A0FJ 97.7556109725686 91.1340206185567 88.8888888888889 54.0983606557377 14.2857142857143
TCGA-AN-A0FL 97.9742173112339 89.937106918239 96.7551622418879 74 40
TCGA-AN-A0FX 93.3933933933934 85.1764705882353 79.2452830188679 21.0526315789474 17.7777777777778
TCGA-AN-A0XU 97.5182481751825 91.1719939117199 89.9408284023669 50.7042253521127 14.7058823529412
TCGA-AO-A03U NA 0 NA 0 NA
TCGA-AO-A0J2 97.1887550200803 91.8918918918919 86.9158878504673 45.4545454545455 21.4285714285714
TCGA-AO-A0J4 99.1228070175439 76.3736263736264 90.9090909090909 21.6666666666667 22.7272727272727
TCGA-AO-A0J6 98.1382978723404 87.0182555780933 86 30 50
TCGA-AO-A124 95.7923008057296 93.0542340627973 94.0355329949239 76.8339768339768 40.9090909090909
TCGA-AO-A128 93.1818181818182 80.9523809523809 70 51.7857142857143 50.6072874493927
TCGA-AO-A129 90.1639344262295 74.4 50 24.5901639344262 36.6666666666667
TCGA-AO-A12F 97.8197674418605 78.4636488340192 96.9450101832994 72.6851851851852 21.4285714285714
TCGA-AO-A1KR 99.1735537190083 71.0280373831776 91.6666666666667 4 0
TCGA-AQ-A04J 97.2972972972973 80 91.6666666666667 43.1818181818182 53.3333333333333
TCGA-AR-A0TP 96.5 93.0397727272727 95.3795379537954 84.8214285714286 50
TCGA-AR-A0TS 91.6666666666667 68.75 62.5 53.125 28.5714285714286
TCGA-AR-A0U0 71.1764705882353 64.7619047619048 31.9444444444444 21.875 20
TCGA-AR-A0U4 87.6712328767123 82.0224719101124 50 32.1428571428571 43.2432432432432
TCGA-AR-A1AH 97.4327628361858 93.9644970414201 93.1596091205212 42.4 20.5882352941176
